               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085392,            0.066996,            0.021955,            0.013443,             0.81608,            0.018705,           0.0049457,            0.071713,            0.047516,             0.01776,            0.070341,           0.0032955,           0.0032955
                   1,            0.073003,            0.073548,            0.021287,            0.026958,             0.71508,            0.050679,            0.014973,            0.058841,             0.05159,            0.017488,            0.040275,           0.0065632,           0.0065632
                   2,             0.06375,            0.071441,            0.020674,             0.13843,              0.2992,            0.099245,            0.036463,            0.043961,            0.047781,            0.017396,            0.010144,           0.0097649,           0.0097649
                   3,            0.062168,            0.071136,            0.021312,             0.17528,             0.44903,             0.15752,            0.055709,            0.052559,            0.041161,            0.017366,            0.009703,            0.009703,            0.009703
                   4,            0.055608,            0.061454,            0.018902,             0.23142,             0.43649,             0.22162,            0.093323,            0.039688,            0.041214,             0.01691,            0.009703,            0.009703,            0.009703
                   5,            0.054316,             0.06358,             0.01908,             0.14085,             0.44973,             0.13138,            0.054818,             0.04368,            0.038336,            0.016212,            0.009604,            0.009604,            0.009604
                   6,            0.056714,            0.065001,            0.019866,             0.17119,              0.5693,             0.15752,            0.062115,            0.042833,            0.037344,            0.015851,            0.009505,            0.009505,            0.009505
                   7,             0.05139,               0.054,            0.018291,              0.2091,             0.62342,             0.26093,            0.089208,            0.041827,            0.031972,            0.015882,            0.009406,            0.009406,            0.009406
                   8,            0.058104,            0.057584,             0.01896,             0.31385,             0.48138,             0.30447,            0.086391,            0.053018,             0.02652,            0.015557,            0.009307,            0.009307,            0.009307
                   9,            0.055864,            0.059939,            0.018828,              0.3073,             0.61365,             0.31987,             0.11983,            0.041259,            0.028772,            0.015375,            0.009208,            0.009208,            0.009208
                  10,            0.047063,            0.056554,            0.017348,             0.46247,             0.69602,             0.54047,             0.16866,            0.050714,            0.025541,            0.015153,            0.009109,            0.009109,            0.009109
                  11,            0.050187,            0.054598,            0.017971,             0.36749,             0.68239,             0.43805,             0.18687,            0.038678,            0.027984,            0.014917,             0.00901,             0.00901,             0.00901
                  12,            0.042488,            0.057848,            0.018085,             0.41838,             0.76245,             0.52031,             0.32963,            0.027327,             0.02764,            0.014704,            0.008911,            0.008911,            0.008911
                  13,            0.041543,            0.056454,            0.018276,             0.38169,             0.68617,             0.53605,             0.19497,            0.039386,            0.032831,            0.014178,            0.008812,            0.008812,            0.008812
                  14,            0.042707,             0.05996,            0.018497,             0.35212,             0.79079,               0.448,             0.26733,            0.021287,            0.027941,             0.01392,            0.008713,            0.008713,            0.008713
                  15,             0.03388,            0.047117,            0.016766,             0.36968,             0.71468,             0.37384,             0.14805,            0.037876,            0.028775,            0.013617,            0.008614,            0.008614,            0.008614
                  16,            0.042917,            0.047353,            0.016693,             0.51637,             0.73189,             0.60404,              0.2979,            0.026013,            0.027538,            0.013122,            0.008515,            0.008515,            0.008515
                  17,            0.035636,            0.049917,             0.01749,             0.56256,             0.82044,             0.58303,             0.34179,            0.020279,             0.02717,            0.012816,            0.008416,            0.008416,            0.008416
                  18,            0.030695,            0.047884,            0.017474,              0.4021,             0.71508,             0.50183,             0.25908,            0.031873,            0.030725,            0.012425,            0.008317,            0.008317,            0.008317
                  19,            0.037386,            0.049752,            0.016001,             0.58237,             0.79727,             0.68337,             0.42645,            0.021178,            0.025758,            0.012283,            0.008218,            0.008218,            0.008218
                  20,            0.031157,            0.048668,            0.016125,             0.59178,             0.67849,             0.69499,             0.46829,            0.020237,            0.025362,            0.011735,            0.008119,            0.008119,            0.008119
                  21,            0.029981,            0.046223,            0.015891,             0.64417,             0.69024,             0.70109,             0.44299,            0.022938,            0.027926,            0.010904,             0.00802,             0.00802,             0.00802
                  22,            0.031351,            0.042992,            0.015306,             0.58356,              0.8062,             0.66828,             0.37489,            0.023572,            0.026572,              0.0102,            0.007921,            0.007921,            0.007921
                  23,            0.028241,            0.046922,            0.015411,             0.59431,             0.76828,             0.66421,             0.40123,            0.024792,            0.025978,           0.0094417,            0.007822,            0.007822,            0.007822
                  24,            0.032703,            0.045872,            0.014312,             0.63171,             0.85042,             0.72245,             0.44653,            0.024016,            0.025316,           0.0089171,            0.007723,            0.007723,            0.007723
                  25,            0.029984,            0.043772,            0.015242,             0.74185,             0.84313,             0.84726,             0.49179,            0.021068,            0.025129,           0.0085455,            0.007624,            0.007624,            0.007624
                  26,            0.026105,            0.039772,            0.014004,             0.54112,             0.83101,             0.71765,             0.35303,            0.027937,            0.026046,           0.0077503,            0.007525,            0.007525,            0.007525
                  27,            0.035275,             0.04677,            0.013769,             0.54375,             0.72683,             0.69819,             0.41547,            0.024772,            0.024552,           0.0073657,            0.007426,            0.007426,            0.007426
                  28,            0.027343,            0.042168,            0.013115,             0.86001,             0.91911,             0.91581,             0.66642,            0.015132,            0.023722,           0.0067876,            0.007327,            0.007327,            0.007327
                  29,            0.028334,            0.046802,            0.013523,             0.70193,             0.94338,             0.83743,             0.42734,            0.024418,            0.023351,           0.0062029,            0.007228,            0.007228,            0.007228
                  30,            0.028531,            0.041195,            0.012247,             0.86608,             0.88256,             0.93394,             0.61015,            0.020581,            0.023222,           0.0062567,            0.007129,            0.007129,            0.007129
